Season,Player_ID,Contract_Type,Value
2021-22,203999,Guaranteed,31579390.0
2022-23,203999,Guaranteed,33616770.0
2020-21,200794,Guaranteed,10000000.0
2020-21,1628408,Guaranteed,1762796.0
2021-22,1628408,Non-Guaranteed,1910860.0
2020-21,1628427,Guaranteed,1517981.0
2021-22,1628427,Non-Guaranteed,1782621.0
2022-23,1628427,Qualifying Offer,2228276.0
2020-21,203115,Guaranteed,13723214.0
2021-22,203115,Player Option,14669642.0
2020-21,201933,Not With Team,32670565.0
2021-22,201933,Not With Team,29764126.0
2020-21,202709,Guaranteed,12600000.0
2021-22,202709,Non-Guaranteed,12600000.0
2020-21,203473,Not With Team,2866667.0
2021-22,203473,Not With Team,2866667.0
2022-23,203473,Not With Team,2866667.0
2023-24,203473,Not With Team,2866666.0
2024-25,203473,Not With Team,2866666.0
2020-21,1629058,Not With Team,2002800.0
2021-22,1628402,Qualifying Offer,1789256.0
2020-21,1628977,Guaranteed,1663861.0
2021-22,1628977,Qualifying Offer,2079826.0
2020-21,1626143,Guaranteed,1882867.0
2021-22,1626143,Guaranteed,2130023.0
2020-21,203924,Guaranteed,19050000.0
2021-22,203924,Guaranteed,20002500.0
2022-23,203924,Guaranteed,20955000.0
2020-21,1628367,Guaranteed,4767000.0
2021-22,1628367,Guaranteed,5005350.0
2020-21,203486,Guaranteed,8000000.0
2021-22,203486,Guaranteed,8137500.0
2022-23,203486,Non-Guaranteed,8525000.0
2020-21,203585,Guaranteed,5192307.0
2021-22,203585,Non-Guaranteed,5000000.0
2020-21,1629635,Guaranteed,3449400.0
2021-22,1629635,Guaranteed,3613680.0
2022-23,1629635,Team Option,5539771.0
2023-24,1629635,Qualifying Offer,7744600.0
2020-21,201961,Guaranteed,1620564.0
2020-21,1629015,Not With Team,1068200.0
2021-22,1629015,Not With Team,1068200.0
2022-23,1629015,Not With Team,1068200.0
2020-21,1629346,Guaranteed,1517981.0
2021-22,1629346,Non-Guaranteed,1782621.0
2022-23,1629346,Non-Guaranteed,1930681.0
2020-21,203952,Guaranteed,29542010.0
2021-22,203952,Guaranteed,31579390.0
2022-23,203952,Guaranteed,33616770.0
2020-21,1627814,Guaranteed,1762796.0
2021-22,1627814,Non-Guaranteed,1910860.0
2020-21,203110,Guaranteed,22246956.0
2021-22,203110,Guaranteed,24026712.0
2022-23,203110,Guaranteed,25806468.0
2023-24,203110,Player Option,27586224.0
2020-21,1629672,Guaranteed,1517981.0
2021-22,1629672,Non-Guaranteed,1782621.0
2022-23,1629672,Qualifying Offer,2228276.0
2020-21,1629673,Guaranteed,2063280.0
2021-22,1629673,Guaranteed,2161440.0
2022-23,1629673,Team Option,3901399.0
2023-24,1629673,Qualifying Offer,5813085.0
2020-21,203145,Guaranteed,1620564.0
2020-21,1626172,Guaranteed,4821429.0
2021-22,1626172,Player Option,5178572.0
2020-21,202691,Guaranteed,35361360.0
2021-22,202691,Guaranteed,37980720.0
2022-23,202691,Guaranteed,40600080.0
2023-24,202691,Guaranteed,43219440.0
2020-21,2733,Not With Team,666667.0
2021-22,2733,Not With Team,666667.0
2020-21,201939,Guaranteed,43006362.0
2021-22,201939,Guaranteed,45780966.0
2020-21,202340,Guaranteed,5635000.0
2021-22,202340,Team Option,5916750.0
2020-21,203463,Not With Team,2283034.0
2020-21,1629598,Not With Team,1517981.0
2020-21,1626174,Guaranteed,13015874.0
2021-22,1626174,Guaranteed,13666667.0
2022-23,1626174,Guaranteed,14317459.0
2020-21,203957,Guaranteed,9600000.0
2020-21,1629610,Guaranteed,1445697.0
2021-22,1629610,Team Option,1701593.0
2022-23,1629610,Qualifying Offer,2126991.0
2020-21,1628021,Guaranteed,1824003.0
2020-21,201569,Guaranteed,16869276.0
2021-22,201569,Guaranteed,18218818.0
2022-23,201569,Guaranteed,19568360.0
2023-24,201569,Non-Guaranteed,20917902.0
2020-21,1626170,Not With Team,50000.0
2020-21,202322,Guaranteed,41254920.0
2021-22,202322,Guaranteed,44310840.0
2022-23,202322,Player Option,47366760.0
2020-21,203482,Guaranteed,12819649.0
2020-21,1628425,Guaranteed,1620564.0
2020-21,1627786,Not With Team,122741.0
2021-22,1627786,Not With Team,122741.0
2022-23,1627786,Not With Team,122741.0
2020-21,1628988,Guaranteed,2345640.0
2021-22,1628988,Guaranteed,3980551.0
2022-23,1628988,Qualifying Offer,5791702.0
2021-22,1628968,Qualifying Offer,1669178.0
2020-21,1627747,Guaranteed,16203704.0
2021-22,1627747,Guaranteed,17500000.0
2022-23,1627747,Guaranteed,18796296.0
2020-21,1627734,Guaranteed,19800000.0
2021-22,1627734,Guaranteed,19800000.0
2022-23,1627734,Guaranteed,19800000.0
2023-24,1627734,Guaranteed,20700000.0
2020-21,203926,Guaranteed,7333333.0
2020-21,1628410,Guaranteed,2160000.0
2021-22,1628410,Team Option,2320000.0
2020-21,1629048,Guaranteed,2957520.0
2021-22,1629048,Guaranteed,3098400.0
2022-23,1629048,Team Option,4765339.0
2023-24,1629048,Qualifying Offer,6762016.0
2020-21,203960,Guaranteed,1620564.0
2020-21,1629665,Not With Team,1517981.0
2020-21,203087,Guaranteed,10500000.0
2021-22,203087,Guaranteed,10500000.0
2020-21,203200,Guaranteed,5720400.0
2021-22,203200,Guaranteed,6006420.0
2022-23,203200,Guaranteed,6292440.0
2020-21,1629103,Guaranteed,1445697.0
2021-22,1629103,Non-Guaranteed,1701593.0
2022-23,1629103,Qualifying Offer,2126991.0
2020-21,1627763,Guaranteed,20700000.0
2021-22,1627763,Guaranteed,21700000.0
2022-23,1627763,Guaranteed,22600000.0
2020-21,101145,Not With Team,2245400.0
2021-22,101145,Not With Team,2245400.0
2020-21,1626167,Guaranteed,18000000.0
2021-22,1626167,Guaranteed,18000000.0
2022-23,1626167,Guaranteed,18000000.0
2020-21,1629052,Guaranteed,99020.0
2021-22,1629599,Qualifying Offer,1669178.0
2020-21,1627826,Guaranteed,7000000.0
2021-22,1627826,Guaranteed,7518518.0
2022-23,1627826,Team Option,7518518.0
2020-21,202695,Guaranteed,34379100.0
2021-22,202695,Player Option,36016200.0
2020-21,1628379,Guaranteed,5273826.0
2021-22,1628379,Guaranteed,12727273.0
2022-23,1628379,Guaranteed,13745455.0
2023-24,1628379,Guaranteed,14763636.0
2024-25,1628379,Team Option,14763636.0
2020-21,201587,Guaranteed,1620564.0
2020-21,201976,Guaranteed,13333333.0
2021-22,201976,Guaranteed,14320987.0
2020-21,202335,Guaranteed,3077704.0
2020-21,202331,Guaranteed,35450412.0
2021-22,202331,Guaranteed,39344900.0
2022-23,202331,Guaranteed,42492492.0
2023-24,202331,Guaranteed,45640084.0
2024-25,202331,Player Option,48787676.0
2020-21,200765,Guaranteed,8250000.0
2021-22,200765,Guaranteed,8250000.0
2020-21,202704,Guaranteed,1620564.0
2020-21,201586,Guaranteed,9258000.0
2021-22,201586,Player Option,9720900.0
2020-21,1629611,Guaranteed,1517981.0
2021-22,1629611,Non-Guaranteed,1782621.0
2022-23,1629611,Team Option,1930681.0
2020-21,1627936,Guaranteed,2750000.0
2020-21,1628035,Guaranteed,1762796.0
2021-22,1628035,Non-Guaranteed,1910860.0
2022-23,1628035,Non-Guaranteed,2165298.0
2020-21,203083,Guaranteed,554988.0
2020-21,203076,Guaranteed,32742000.0
2021-22,203076,Guaranteed,35361360.0
2022-23,203076,Guaranteed,37980720.0
2023-24,203076,Guaranteed,40600080.0
2024-25,203076,Early Termination,43219440.0
2020-21,203463,Guaranteed,455090.0
2020-21,203471,Guaranteed,16000000.0
2020-21,201162,Guaranteed,1620564.0
2021-22,1628961,Qualifying Offer,1729217.0
2020-21,1628398,Guaranteed,3562178.0
2021-22,1628398,Guaranteed,13000000.0
2022-23,1628398,Guaranteed,13000000.0
2023-24,1628398,Player Option,13000000.0
2020-21,2544,Guaranteed,39219566.0
2021-22,2544,Guaranteed,41180544.0
2022-23,2544,Guaranteed,44474988.0
2020-21,2736,Not With Team,5000000.0
2021-22,2736,Not With Team,5000000.0
2020-21,201188,Guaranteed,2564753.0
2021-22,201188,Guaranteed,2692991.0
2020-21,202693,Guaranteed,1620564.0
2020-21,1626149,Guaranteed,9258000.0
2021-22,1626149,Player Option,9720900.0
2020-21,1626188,Not With Team,1000000.0
2020-21,202083,Guaranteed,3623000.0
2020-21,1629634,Guaranteed,2602920.0
2021-22,1629634,Guaranteed,2726880.0
2022-23,1629634,Team Option,4343920.0
2023-24,1629634,Qualifying Offer,6259589.0
2020-21,1626177,Not With Team,459414.0
2020-21,1629001,Guaranteed,9571712.0
2021-22,1629001,Guaranteed,8805976.0
2022-23,1629001,Guaranteed,8250000.0
2023-24,1629001,Non-Guaranteed,8000000.0
2020-21,1628415,Guaranteed,11400000.0
2021-22,1628415,Guaranteed,12200000.0
2022-23,1628415,Guaranteed,11400000.0
2020-21,203079,Not With Team,12650000.0
2020-21,203476,Not With Team,16587688.0
2020-21,1628960,Guaranteed,2545320.0
2021-22,1628960,Guaranteed,4054695.0
2022-23,1628960,Qualifying Offer,5842815.0
2020-21,1629630,Guaranteed,9166800.0
2021-22,1629630,Guaranteed,9603360.0
2022-23,1629630,Team Option,12119440.0
2023-24,1629630,Qualifying Offer,15815869.0
2020-21,1629723,Guaranteed,2100000.0
2021-22,1629723,Guaranteed,2200000.0
2022-23,1629723,Non-Guaranteed,2300000.0
2023-24,1629723,Non-Guaranteed,2400000.0
2020-21,202685,Guaranteed,15000000.0
2021-22,202685,Guaranteed,14000000.0
2020-21,1626159,Guaranteed,13000000.0
2021-22,1626159,Team Option,13000000.0
2020-21,203937,Guaranteed,9505100.0
2021-22,203937,Guaranteed,9937150.0
2020-21,1626209,Not With Team,1977011.0
2020-21,1629741,Not With Team,2750000.0
2020-21,1626145,Guaranteed,8817143.0
2021-22,1626145,Guaranteed,8376286.0
2020-21,1627773,Not With Team,350087.0
2020-21,2738,Guaranteed,15000000.0
2021-22,2738,Team Option,15000000.0
2020-21,1628389,Guaranteed,5115492.0
2021-22,1628389,Guaranteed,28103500.0
2022-23,1628389,Guaranteed,30351780.0
2023-24,1628389,Guaranteed,32600060.0
2024-25,1628389,Guaranteed,34848340.0
2020-21,1629130,Guaranteed,1663861.0
2021-22,1629130,Qualifying Offer,4736102.0
2021-22,1629216,Qualifying Offer,1669178.0
2020-21,201609,Guaranteed,18000000.0
2021-22,201609,Team Option,19440000.0
2020-21,202710,Guaranteed,34379100.0
2021-22,202710,Guaranteed,36016200.0
2022-23,202710,Player Option,37653300.0
2020-21,1629134,Guaranteed,1663861.0
2021-22,1629134,Qualifying Offer,4736102.0
2020-21,1629644,Guaranteed,1517981.0
2021-22,1629644,Guaranteed,1782621.0
2022-23,1629644,Qualifying Offer,2228276.0
2020-21,202357,Guaranteed,7150000.0
2020-21,2772,Guaranteed,12800000.0
2020-21,1629639,Guaranteed,3822240.0
2021-22,1629639,Guaranteed,4004280.0
2022-23,1629639,Team Option,5722116.0
2023-24,1629639,Qualifying Offer,7913686.0
2020-21,2617,Guaranteed,1620564.0
2020-21,203506,Guaranteed,21000000.0
2020-21,1626171,Guaranteed,3623000.0
2021-22,1626171,Player Option,3804150.0
2020-21,201572,Guaranteed,12697675.0
2021-22,201572,Guaranteed,13302325.0
2022-23,201572,Guaranteed,13906976.0
2020-21,1627854,Guaranteed,2337145.0
2021-22,1627854,Player Option,2454002.0
2020-21,203507,Guaranteed,27528088.0
2021-22,203507,Guaranteed,39344900.0
2022-23,203507,Guaranteed,42492492.0
2023-24,203507,Guaranteed,45640676.0
2024-25,203507,Guaranteed,48787676.0
2020-21,201952,Guaranteed,510589.0
2020-21,202720,Not With Team,3169348.0
2021-22,202720,Not With Team,3169347.0
2020-21,201950,Guaranteed,25876111.0
2021-22,201950,Guaranteed,31051333.0
2022-23,201950,Guaranteed,33535440.0
2023-24,201950,Guaranteed,36019547.0
2024-25,201950,Player Option,38503654.0
2020-21,203114,Guaranteed,33051724.0
2021-22,203114,Guaranteed,35500000.0
2022-23,203114,Guaranteed,37948276.0
2023-24,203114,Player Option,40396552.0
2020-21,1626192,Guaranteed,4938273.0
2021-22,1626192,Guaranteed,5333334.0
2022-23,1626192,Player Option,5728393.0
2020-21,1629066,Guaranteed,1780152.0
2021-22,1629066,Team Option,1861068.0
2020-21,203648,Guaranteed,1701593.0
2021-22,203648,Qualifying Offer,2126991.0
2020-21,202332,Not With Team,685340.0
2020-21,1626156,Guaranteed,28649250.0
2021-22,1626156,Guaranteed,30013500.0
2022-23,1626156,Guaranteed,31377750.0
2020-21,202334,Guaranteed,5005350.0
2020-21,1627774,Guaranteed,3761085.0
2021-22,1627774,Guaranteed,3940184.0
2020-21,1629020,Guaranteed,1663861.0
2021-22,1629020,Qualifying Offer,2079826.0
2020-21,1629633,Guaranteed,6104280.0
2021-22,1629633,Guaranteed,6395160.0
2022-23,1629633,Team Option,8109063.0
2023-24,1629633,Qualifying Offer,10817490.0
2020-21,1629669,Guaranteed,1517981.0
2021-22,1629669,Non-Guaranteed,1782621.0
2022-23,1629669,Team Option,1930681.0
2021-22,1629162,Qualifying Offer,1669178.0
2020-21,1629006,Guaranteed,2651040.0
2021-22,1629006,Guaranteed,4087904.0
2022-23,1629006,Qualifying Offer,5857966.0
2020-21,1627823,Guaranteed,6493000.0
2021-22,1627823,Guaranteed,7012440.0
2022-23,1627823,Non-Guaranteed,7531880.0
2020-21,1627736,Guaranteed,13425895.0
2021-22,1627736,Guaranteed,14491964.0
2022-23,1627736,Guaranteed,15558035.0
2023-24,1627736,Team Option,16524106.0
2020-21,1629675,Guaranteed,1517981.0
2021-22,1629675,Non-Guaranteed,1782621.0
2022-23,1629675,Team Option,1930681.0
2020-21,201937,Guaranteed,17000000.0
2021-22,201937,Guaranteed,17800000.0
2020-21,1627742,Guaranteed,27285000.0
2021-22,1627742,Guaranteed,29467800.0
2022-23,1627742,Guaranteed,31650600.0
2023-24,1627742,Guaranteed,33833400.0
2024-25,1627742,Guaranteed,36016200.0
2020-21,202339,Guaranteed,16875000.0
2021-22,202339,Guaranteed,18125000.0
2022-23,202339,Non-Guaranteed,19375000.0
2020-21,201949,Guaranteed,16047100.0
2020-21,1629637,Guaranteed,5105160.0
2021-22,1629637,Guaranteed,5348280.0
2022-23,1629637,Team Option,6803012.0
2023-24,1629637,Qualifying Offer,9170460.0
2020-21,1628404,Guaranteed,3491159.0
2021-22,1628404,Qualifying Offer,5236739.0
2020-21,1628366,Guaranteed,11003782.0
2021-22,1628366,Qualifying Offer,14359936.0
2020-21,203500,Guaranteed,29592695.0
2021-22,203500,Guaranteed,17073171.0
2022-23,203500,Guaranteed,17926829.0
2020-21,1629117,Guaranteed,1620564.0
2021-22,1629117,Non-Guaranteed,1762796.0
2020-21,1626195,Guaranteed,1620564.0
2020-21,1629627,Guaranteed,10245480.0
2021-22,1629627,Guaranteed,10733400.0
2022-23,1629627,Team Option,13534817.0
2023-24,1629627,Qualifying Offer,17595262.0
2020-21,202692,Guaranteed,6000000.0
2020-21,201565,Guaranteed,7682926.0
2020-21,203901,Guaranteed,4767000.0
2020-21,1628373,Guaranteed,6176578.0
2021-22,1628373,Qualifying Offer,8326027.0
2020-21,1628980,Not With Team,2017320.0
2021-22,1629607,Qualifying Offer,1669178.0
2020-21,201149,Not With Team,6431667.0
2021-22,201149,Not With Team,6431667.0
2020-21,203089,Guaranteed,110998.0
2020-21,203944,Guaranteed,18900000.0
2021-22,203944,Non-Guaranteed,19800000.0
2020-21,1629011,Guaranteed,1663861.0
2021-22,1629011,Team Option,1802057.0
2020-21,203457,Guaranteed,5000000.0
2020-21,1629016,Not With Team,1988280.0
2020-21,203493,Guaranteed,4200000.0
2020-21,1629628,Guaranteed,8231760.0
2021-22,1629628,Guaranteed,8623920.0
2022-23,1629628,Team Option,10900635.0
2023-24,1629628,Qualifying Offer,14301633.0
2020-21,201959,Guaranteed,1442968.0
2020-21,1628390,Not With Team,3944013.0
2020-21,1629738,Not With Team,2619207.0
2020-21,201961,Not With Team,1000000.0
2020-21,1629678,Guaranteed,1517981.0
2021-22,1629678,Not With Team,300000.0
2020-21,201143,Guaranteed,27500000.0
2021-22,201143,Guaranteed,27000000.0
2022-23,201143,Non-Guaranteed,26500000.0
2020-21,203085,Not With Team,3500000.0
2020-21,1629647,Guaranteed,2399160.0
2021-22,1629647,Guaranteed,2513040.0
2022-23,1629647,Team Option,4264629.0
2023-24,1629647,Qualifying Offer,6205035.0
2020-21,203121,Guaranteed,7000000.0
2020-21,1628402,Not With Team,250000.0
2020-21,1629676,Guaranteed,1517981.0
2021-22,1629676,Non-Guaranteed,1782621.0
2022-23,1629676,Team Option,1930681.0
2020-21,1627982,Not With Team,1620564.0
2020-21,1628382,Not With Team,5029650.0
2020-21,1629026,Guaranteed,2000000.0
2021-22,1629026,Guaranteed,2000000.0
2022-23,1629026,Non-Guaranteed,2000000.0
2020-21,202713,Not With Team,999200.0
2021-22,202713,Not With Team,999200.0
2022-23,202713,Not With Team,999200.0
2020-21,1629652,Guaranteed,1517981.0
2021-22,1629652,Non-Guaranteed,1782621.0
2022-23,1629652,Team Option,1930681.0
2020-21,203086,Not With Team,9400000.0
2020-21,203488,Guaranteed,2283034.0
2020-21,1629650,Guaranteed,1250000.0
2021-22,1629650,Non-Guaranteed,1701593.0
2022-23,1629650,Non-Guaranteed,1846738.0
2023-24,1629650,Team Option,1997718.0
2020-21,202335,Not With Team,737067.0
2021-22,202335,Not With Team,737066.0
2020-21,1629004,Guaranteed,1663861.0
2021-22,1629004,Qualifying Offer,2079826.0
2020-21,1628396,Guaranteed,3542060.0
2021-22,1628396,Qualifying Offer,5277669.0
2020-21,1629660,Guaranteed,2303040.0
2021-22,1629660,Guaranteed,2412840.0
