,Season,PlayerID,Contract_Type,Value
195,2022-23,202696.0,Guaranteed,22000000.0
196,2020-21,,Not With Team,97261.0
197,2020-21,,Guaranteed,7068360.0
198,2021-22,,Guaranteed,7422000.0
199,2022-23,,Team Option,7775400.0
200,2023-24,,Team Option,9835881.0
201,2024-25,,Qualifying Offer,12973527.0
202,2020-21,1627853.0,Guaranteed,3000000.0
203,2021-22,1627853.0,Team Option,3000000.0
204,2020-21,201152.0,Guaranteed,13545000.0
205,2021-22,201152.0,Non-Guaranteed,14190000.0
206,2020-21,203107.0,Guaranteed,10000000.0
207,2021-22,203107.0,Non-Guaranteed,10000000.0
208,2020-21,,Guaranteed,3372840.0
209,2021-22,,Guaranteed,5170564.0
210,2022-23,,Qualifying Offer,7228448.0
211,2020-21,203897.0,Guaranteed,19500000.0
212,2021-22,203897.0,Guaranteed,19500000.0
213,2020-21,203083.0,Not With Team,27957238.0
214,2020-21,1626224.0,Guaranteed,8840580.0
215,2021-22,1626224.0,Guaranteed,8133334.0
216,2022-23,1626224.0,Guaranteed,7426088.0
217,2023-24,1626224.0,Non-Guaranteed,6718842.0
218,2020-21,1629012.0,Guaranteed,4991880.0
219,2021-22,1629012.0,Guaranteed,6349671.0
220,2022-23,1629012.0,Qualifying Offer,8559357.0
221,2020-21,1628422.0,Guaranteed,2000000.0
222,2021-22,1628422.0,Non-Guaranteed,2000000.0
223,2020-21,1629636.0,Guaranteed,6720720.0
224,2021-22,1629636.0,Guaranteed,7040880.0
225,2022-23,1629636.0,Team Option,8920795.0
226,2023-24,1629636.0,Qualifying Offer,11828974.0
227,2020-21,1629731.0,Guaranteed,1517981.0
228,2021-22,1629731.0,Non-Guaranteed,1782621.0
229,2022-23,1629731.0,Team Option,1930681.0
230,2020-21,1629685.0,Guaranteed,2137440.0
231,2021-22,1629685.0,Guaranteed,2239200.0
232,2022-23,1629685.0,Team Option,4037278.0
233,2023-24,1629685.0,Qualifying Offer,5959022.0
234,2020-21,,Guaranteed,6400920.0
235,2021-22,,Guaranteed,6720720.0
236,2022-23,,Team Option,7040880.0
237,2023-24,,Team Option,8920795.0
238,2024-25,,Qualifying Offer,11828974.0
239,2020-21,1628392.0,Guaranteed,1620564.0
240,2021-22,1628392.0,Player Option,1762796.0
241,2020-21,1628386.0,Guaranteed,3909902.0
242,2021-22,1628386.0,Qualifying Offer,7705447.0
243,2020-21,2747.0,Not With Team,1456667.0
244,2021-22,2747.0,Not With Team,1456667.0
245,2020-21,201567.0,Guaranteed,31258256.0
246,2021-22,201567.0,Guaranteed,31258256.0
247,2022-23,201567.0,Guaranteed,28942830.0
248,2020-21,,Guaranteed,11709091.0
249,2021-22,,Guaranteed,10690909.0
250,2022-23,,Guaranteed,9672727.0
251,2020-21,203521.0,Guaranteed,1620564.0
252,2020-21,1626188.0,Not With Team,110998.0
253,2020-21,,Not With Team,110998.0
254,2020-21,1629730.0,Not With Team,340000.0
255,2020-21,1627752.0,Guaranteed,12250000.0
256,2021-22,1627752.0,Guaranteed,13000000.0
257,2020-21,1627748.0,Not With Team,309355.0
258,2020-21,1627812.0,Not With Team,110998.0
259,2020-21,1626246.0,Guaranteed,3500000.0
260,2020-21,,Guaranteed,4000000.0
261,2021-22,,Guaranteed,4000000.0
262,2020-21,203939.0,Guaranteed,11080125.0
263,2021-22,203939.0,Guaranteed,11080125.0
264,2022-23,203939.0,Guaranteed,11080125.0
265,2020-21,1628973.0,Guaranteed,1663861.0
266,2021-22,1628973.0,Non-Guaranteed,1802057.0
267,2020-21,,Not With Team,1620564.0
268,2020-21,200755.0,Guaranteed,13013700.0
269,2020-21,,Guaranteed,2816760.0
270,2021-22,,Guaranteed,2957520.0
271,2022-23,,Team Option,3098400.0
272,2023-24,,Team Option,4765339.0
273,2024-25,,Qualifying Offer,6762016.0
274,2020-21,1626196.0,Guaranteed,10865952.0
275,2021-22,1626196.0,Player Option,11615328.0
276,2020-21,204001.0,Guaranteed,29467800.0
277,2021-22,204001.0,Guaranteed,31650600.0
278,2022-23,204001.0,Guaranteed,33833400.0
279,2023-24,204001.0,Player Option,36016200.0
280,2020-21,1629029.0,Guaranteed,8049360.0
281,2021-22,1629029.0,Guaranteed,10174391.0
282,2022-23,1629029.0,Qualifying Offer,13348801.0
283,2020-21,1628467.0,Guaranteed,8325000.0
284,2021-22,1628467.0,Guaranteed,8825000.0
285,2022-23,1628467.0,Non-Guaranteed,9075000.0
286,2020-21,1629740.0,Guaranteed,3897436.0
287,2021-22,1629740.0,Qualifying Offer,4871795.0
288,2020-21,,Guaranteed,18975000.0
289,2020-21,203504.0,Guaranteed,3000000.0
290,2021-22,203504.0,Guaranteed,3150000.0
291,2022-23,203504.0,Player Option,3300000.0
292,2020-21,,Guaranteed,1289846.0
293,2021-22,,Guaranteed,1617981.0
294,2022-23,,Guaranteed,1782981.0
295,2023-24,,Team Option,1930681.0
296,2020-21,,Guaranteed,4100000.0
297,2021-22,,Team Option,4100000.0
298,2020-21,203932.0,Guaranteed,18136364.0
299,2021-22,203932.0,Guaranteed,16409091.0
300,2020-21,,Guaranteed,2058240.0
301,2021-22,,Guaranteed,2161152.0
302,2022-23,,Qualifying Offer,2701440.0
303,2020-21,,Guaranteed,3200000.0
304,2021-22,,Guaranteed,3200000.0
305,2022-23,,Qualifying Offer,4000000.0
306,2020-21,1629109.0,Guaranteed,2000000.0
307,2021-22,1629109.0,Non-Guaranteed,2100000.0
308,2020-21,1627750.0,Guaranteed,27285000.0
309,2021-22,1627750.0,Guaranteed,29467800.0
310,2022-23,1627750.0,Guaranteed,31650600.0
311,2023-24,1627750.0,Guaranteed,33833400.0
312,2024-25,1627750.0,Guaranteed,36016200.0
313,2020-21,203210.0,Guaranteed,7199760.0
314,2021-22,203210.0,Player Option,7559748.0
315,2020-21,201580.0,Guaranteed,4200000.0
316,2020-21,,Guaranteed,3550800.0
317,2021-22,,Guaranteed,5258735.0
318,2022-23,,Qualifying Offer,7314900.0
319,2020-21,1628420.0,Guaranteed,1723707.0
320,2021-22,1628420.0,Guaranteed,8449074.0
321,2022-23,1628420.0,Guaranteed,9125000.0
322,2023-24,1628420.0,Guaranteed,9800926.0
323,2020-21,203999.0,Guaranteed,29542010.0
324,2021-22,203999.0,Guaranteed,31579390.0
325,2022-23,203999.0,Guaranteed,33616770.0
326,2020-21,200794.0,Guaranteed,10000000.0
327,2020-21,1628408.0,Guaranteed,1762796.0
328,2021-22,1628408.0,Non-Guaranteed,1910860.0
329,2020-21,1628427.0,Guaranteed,1517981.0
330,2021-22,1628427.0,Non-Guaranteed,1782621.0
331,2022-23,1628427.0,Qualifying Offer,2228276.0
332,2020-21,203115.0,Guaranteed,13723214.0
333,2021-22,203115.0,Player Option,14669642.0
334,2020-21,,Guaranteed,2379840.0
335,2021-22,,Guaranteed,2498760.0
336,2022-23,,Team Option,2617800.0
337,2023-24,,Team Option,4306281.0
338,2024-25,,Qualifying Offer,6235495.0
339,2020-21,201933.0,Not With Team,32670565.0
340,2021-22,201933.0,Not With Team,29764126.0
341,2020-21,202709.0,Guaranteed,12600000.0
342,2021-22,202709.0,Non-Guaranteed,12600000.0
343,2020-21,,Guaranteed,898310.0
344,2021-22,,Guaranteed,1517981.0
345,2022-23,,Non-Guaranteed,1782621.0
346,2023-24,,Qualifying Offer,2228276.0
347,2020-21,,Guaranteed,5686677.0
348,2021-22,,Qualifying Offer,7705447.0
349,2020-21,203473.0,Not With Team,2866667.0
350,2021-22,203473.0,Not With Team,2866667.0
351,2022-23,203473.0,Not With Team,2866667.0
352,2023-24,203473.0,Not With Team,2866666.0
353,2024-25,203473.0,Not With Team,2866666.0
354,2020-21,1629058.0,Not With Team,2002800.0
355,2021-22,1628402.0,Qualifying Offer,1789256.0
356,2020-21,1628977.0,Guaranteed,1663861.0
357,2021-22,1628977.0,Qualifying Offer,2079826.0
358,2020-21,,Guaranteed,3121080.0
359,2021-22,,Guaranteed,3277080.0
360,2022-23,,Team Option,3433320.0
361,2023-24,,Team Option,5266713.0
362,2024-25,,Qualifying Offer,7399732.0
363,2020-21,1626143.0,Guaranteed,1882867.0
364,2021-22,1626143.0,Guaranteed,2130023.0
365,2020-21,203924.0,Guaranteed,19050000.0
366,2021-22,203924.0,Guaranteed,20002500.0
367,2022-23,203924.0,Guaranteed,20955000.0
368,2020-21,1628367.0,Guaranteed,4767000.0
369,2021-22,1628367.0,Guaranteed,5005350.0
370,2020-21,,Guaranteed,5307120.0
371,2021-22,,Guaranteed,5572680.0
372,2022-23,,Team Option,5837760.0
373,2023-24,,Team Option,7413955.0
374,2024-25,,Qualifying Offer,9942114.0
375,2020-21,203486.0,Guaranteed,8000000.0
376,2021-22,203486.0,Guaranteed,8137500.0
377,2022-23,203486.0,Non-Guaranteed,8525000.0
378,2020-21,203585.0,Guaranteed,5192307.0
379,2021-22,203585.0,Non-Guaranteed,5000000.0
380,2020-21,,Guaranteed,2689920.0
381,2021-22,,Guaranteed,2824320.0
382,2022-23,,Team Option,2959080.0
383,2023-24,,Team Option,4556983.0
384,2024-25,,Qualifying Offer,6498258.0
385,2020-21,1629635.0,Guaranteed,3449400.0
386,2021-22,1629635.0,Guaranteed,3613680.0
387,2022-23,1629635.0,Team Option,5539771.0
388,2023-24,1629635.0,Qualifying Offer,7744600.0
389,2020-21,,Not With Team,99020.0
390,2020-21,201961.0,Guaranteed,1620564.0
391,2020-21,1629015.0,Not With Team,1068200.0
392,2021-22,1629015.0,Not With Team,1068200.0
393,2022-23,1629015.0,Not With Team,1068200.0
394,2020-21,1629346.0,Guaranteed,1517981.0
395,2021-22,1629346.0,Non-Guaranteed,1782621.0
396,2022-23,1629346.0,Non-Guaranteed,1930681.0
397,2020-21,203952.0,Guaranteed,29542010.0
398,2021-22,203952.0,Guaranteed,31579390.0
399,2022-23,203952.0,Guaranteed,33616770.0
400,2020-21,1627814.0,Guaranteed,1762796.0
401,2021-22,1627814.0,Non-Guaranteed,1910860.0
402,2020-21,203110.0,Guaranteed,22246956.0
403,2021-22,203110.0,Guaranteed,24026712.0
404,2022-23,203110.0,Guaranteed,25806468.0
405,2023-24,203110.0,Player Option,27586224.0
406,2020-21,1629672.0,Guaranteed,1517981.0
407,2021-22,1629672.0,Non-Guaranteed,1782621.0
408,2022-23,1629672.0,Qualifying Offer,2228276.0
409,2020-21,,Guaranteed,8730240.0
410,2021-22,,Guaranteed,9166800.0
411,2022-23,,Team Option,9603360.0
412,2023-24,,Team Option,12119440.0
413,2024-25,,Qualifying Offer,15815869.0
414,2020-21,1629673.0,Guaranteed,2063280.0
415,2021-22,1629673.0,Guaranteed,2161440.0
416,2022-23,1629673.0,Team Option,3901399.0
417,2023-24,1629673.0,Qualifying Offer,5813085.0
418,2020-21,,Guaranteed,14375000.0
419,2020-21,203145.0,Guaranteed,1620564.0
420,2020-21,1626172.0,Guaranteed,4821429.0
421,2021-22,1626172.0,Player Option,5178572.0
422,2020-21,202691.0,Guaranteed,35361360.0
423,2021-22,202691.0,Guaranteed,37980720.0
424,2022-23,202691.0,Guaranteed,40600080.0
425,2023-24,202691.0,Guaranteed,43219440.0
426,2020-21,,Guaranteed,1517981.0
427,2021-22,,Non-Guaranteed,1782621.0
428,2022-23,,Qualifying Offer,2228276.0
429,2020-21,2733.0,Not With Team,666667.0
430,2021-22,2733.0,Not With Team,666667.0
431,2020-21,201939.0,Guaranteed,43006362.0
432,2021-22,201939.0,Guaranteed,45780966.0
433,2020-21,202340.0,Guaranteed,5635000.0
434,2021-22,202340.0,Team Option,5916750.0
435,2020-21,203463.0,Not With Team,2283034.0
436,2020-21,203998.0,Not With Team,361256.0
437,2020-21,1629598.0,Not With Team,1517981.0
438,2020-21,1626174.0,Guaranteed,13015874.0
439,2021-22,1626174.0,Guaranteed,13666667.0
440,2022-23,1626174.0,Guaranteed,14317459.0
441,2020-21,203957.0,Guaranteed,9600000.0
442,2020-21,,Guaranteed,3717000.0
443,2021-22,,Guaranteed,3894000.0
444,2020-21,1629610.0,Guaranteed,1445697.0
445,2021-22,1629610.0,Team Option,1701593.0
446,2022-23,1629610.0,Qualifying Offer,2126991.0
447,2020-21,1628021.0,Guaranteed,1824003.0
448,2020-21,202326.0,Guaranteed,1620564.0
449,2020-21,,Guaranteed,6666667.0
450,2021-22,,Guaranteed,7000000.0
451,2022-23,,Non-Guaranteed,7333333.0
452,2020-21,,Guaranteed,4548280.0
453,2021-22,,Qualifying Offer,6422171.0
454,2020-21,201569.0,Guaranteed,16869276.0
455,2021-22,201569.0,Guaranteed,18218818.0
456,2022-23,201569.0,Guaranteed,19568360.0
457,2023-24,201569.0,Non-Guaranteed,20917902.0
458,2020-21,,Guaranteed,1445697.0
459,2021-22,,Non-Guaranteed,1517981.0
460,2022-23,,Team Option,1782621.0
461,2023-24,,Qualifying Offer,2228276.0
462,2020-21,1626170.0,Not With Team,50000.0
463,2020-21,202322.0,Guaranteed,41254920.0
464,2021-22,202322.0,Guaranteed,44310840.0
465,2022-23,202322.0,Player Option,47366760.0
466,2020-21,203482.0,Guaranteed,12819649.0
467,2020-21,,Guaranteed,1717981.0
468,2021-22,,Guaranteed,1782621.0
469,2022-23,,Team Option,3217631.0
470,2023-24,,Qualifying Offer,4826447.0
471,2020-21,,Guaranteed,898310.0
472,2021-22,,Non-Guaranteed,1517981.0
473,2022-23,,Team Option,1782621.0
474,2023-24,,Team Option,1930681.0
475,2020-21,,Not With Team,61528.0
476,2020-21,1628425.0,Guaranteed,1620564.0
477,2020-21,1627786.0,Not With Team,122741.0
478,2021-22,1627786.0,Not With Team,122741.0
479,2022-23,1627786.0,Not With Team,122741.0
480,2020-21,1628988.0,Guaranteed,2345640.0
481,2021-22,1628988.0,Guaranteed,3980551.0
482,2022-23,1628988.0,Qualifying Offer,5791702.0
483,2021-22,1628968.0,Qualifying Offer,1669178.0
484,2020-21,1627747.0,Guaranteed,16203704.0
485,2021-22,1627747.0,Guaranteed,17500000.0
486,2022-23,1627747.0,Guaranteed,18796296.0
487,2020-21,1627734.0,Guaranteed,19800000.0
488,2021-22,1627734.0,Guaranteed,19800000.0
489,2022-23,1627734.0,Guaranteed,19800000.0
490,2023-24,1627734.0,Guaranteed,20700000.0
491,2020-21,203926.0,Guaranteed,7333333.0
492,2020-21,1628410.0,Guaranteed,2160000.0
493,2021-22,1628410.0,Team Option,2320000.0
494,2020-21,1629048.0,Guaranteed,2957520.0
495,2021-22,1629048.0,Guaranteed,3098400.0
496,2022-23,1629048.0,Team Option,4765339.0
497,2023-24,1629048.0,Qualifying Offer,6762016.0
498,2020-21,203960.0,Guaranteed,1620564.0
499,2020-21,1629665.0,Not With Team,1517981.0
500,2020-21,203087.0,Guaranteed,10500000.0
501,2021-22,203087.0,Guaranteed,10500000.0
502,2020-21,203200.0,Guaranteed,5720400.0
503,2021-22,203200.0,Guaranteed,6006420.0
504,2022-23,203200.0,Guaranteed,6292440.0
505,2020-21,1629103.0,Guaranteed,1445697.0
506,2021-22,1629103.0,Non-Guaranteed,1701593.0
507,2022-23,1629103.0,Qualifying Offer,2126991.0
508,2020-21,1627763.0,Guaranteed,20700000.0
509,2021-22,1627763.0,Guaranteed,21700000.0
510,2022-23,1627763.0,Guaranteed,22600000.0
511,2020-21,101145.0,Not With Team,2245400.0
512,2021-22,101145.0,Not With Team,2245400.0
513,2020-21,1626167.0,Guaranteed,18000000.0
514,2021-22,1626167.0,Guaranteed,18000000.0
515,2022-23,1626167.0,Guaranteed,18000000.0
516,2020-21,1629052.0,Guaranteed,99020.0
517,2020-21,,Guaranteed,3500000.0
518,2020-21,,Guaranteed,12000000.0
519,2021-22,,Guaranteed,12940000.0
520,2021-22,1629599.0,Qualifying Offer,1669178.0
521,2020-21,,Guaranteed,898310.0
522,2021-22,,Guaranteed,1517981.0
523,2022-23,,Qualifying Offer,1919247.0
524,2020-21,202326.0,Guaranteed,110998.0
525,2020-21,1627826.0,Guaranteed,7000000.0
526,2021-22,1627826.0,Guaranteed,7518518.0
527,2022-23,1627826.0,Team Option,7518518.0
528,2020-21,202695.0,Guaranteed,34379100.0
529,2021-22,202695.0,Player Option,36016200.0
530,2020-21,1628379.0,Guaranteed,5273826.0
531,2021-22,1628379.0,Guaranteed,12727273.0
532,2022-23,1628379.0,Guaranteed,13745455.0
533,2023-24,1628379.0,Guaranteed,14763636.0
534,2024-25,1628379.0,Team Option,14763636.0
535,2020-21,,Guaranteed,14883721.0
536,2021-22,,Guaranteed,15627907.0
537,2022-23,,Guaranteed,16372093.0
538,2023-24,,Guaranteed,17116279.0
539,2020-21,201587.0,Guaranteed,1620564.0
540,2020-21,201976.0,Guaranteed,13333333.0
541,2021-22,201976.0,Guaranteed,14320987.0
542,2020-21,202335.0,Guaranteed,3077704.0
543,2020-21,202331.0,Guaranteed,35450412.0
544,2021-22,202331.0,Guaranteed,39344900.0
545,2022-23,202331.0,Guaranteed,42492492.0
546,2023-24,202331.0,Guaranteed,45640084.0
547,2024-25,202331.0,Player Option,48787676.0
548,2020-21,200765.0,Guaranteed,8250000.0
549,2021-22,200765.0,Guaranteed,8250000.0
550,2020-21,202704.0,Guaranteed,1620564.0
551,2020-21,201586.0,Guaranteed,9258000.0
552,2021-22,201586.0,Player Option,9720900.0
553,2020-21,1629611.0,Guaranteed,1517981.0
554,2021-22,1629611.0,Non-Guaranteed,1782621.0
555,2022-23,1629611.0,Team Option,1930681.0
556,2020-21,1627936.0,Guaranteed,2750000.0
557,2020-21,1628035.0,Guaranteed,1762796.0
558,2021-22,1628035.0,Non-Guaranteed,1910860.0
559,2022-23,1628035.0,Non-Guaranteed,2165298.0
560,2020-21,203083.0,Guaranteed,554988.0
561,2020-21,203076.0,Guaranteed,32742000.0
562,2021-22,203076.0,Guaranteed,35361360.0
563,2022-23,203076.0,Guaranteed,37980720.0
564,2023-24,203076.0,Guaranteed,40600080.0
565,2024-25,203076.0,Early Termination,43219440.0
566,2020-21,203463.0,Guaranteed,455090.0
567,2020-21,1627745.0,Not With Team,110998.0
568,2020-21,,Not With Team,110998.0
569,2020-21,203471.0,Guaranteed,16000000.0
570,2020-21,201162.0,Guaranteed,1620564.0
